code,name,ticker,market,size_category,sector_33,fy_end,announce_proxy_date,buyback_jpy,market_cap_at_announce,buyback_pct_mcap,price_at_announce,price_1y_later,price_1y_return_pct,pbr_pre,pbr_post,pbr_delta,roe_pre_pct,roe_post_pct,roe_delta_pct,equity_pre,equity_post,net_income_pre,net_income_post
4502,武田薬品工業,4502.T,TSE Prime,TOPIX Core30,医薬品,2024-03-31,2024-06-29,2326000000.0,6188271390117.99,0.03758723322500649,3917.031982421875,4325.29296875,10.4227126089407,0.840964035952816,0.9683721149172891,0.12740807896447315,1.9807750687999226,1.5562608902790507,-0.4245141785208719,7273264000000.0,6935084000000.0,144067000000.0,107928000000.0
2002,日清製粉グループ本社,2002.T,TSE Prime,TOPIX Mid400,食料品,2024-03-31,2024-06-29,120000000.0,495706907898.8281,0.02420785308573742,1771.953125,1694.8663330078125,-4.3503855098981585,1.04944424089111,1.0086218708737937,-0.040822370017316256,6.344780442173811,7.151281226546585,0.8065007843727736,500301000000.0,485004000000.0,31743000000.0,34684000000.0
3064,ＭｏｎｏｔａＲＯ,3064.T,TSE Prime,TOPIX Mid400,小売業,2025-12-31,2026-03-31,138000000.0,839411639110.0,0.016440086552328103,1705.0,,,7.201048728158669,7.778998288148874,0.5779495599902056,26.472412667319624,,,122520000000.0,,32434000000.0,
2914,日本たばこ産業,2914.T,TSE Prime,TOPIX Core30,食料品,2025-12-31,2026-03-31,1622000000.0,10686954823300.0,0.01517738239581279,6020.0,,,2.5968792394326017,2.672465888422443,0.07558664898984135,12.483077163241973,,,4086933000000.0,,510175000000.0,
2327,日鉄ソリューションズ,2327.T,TSE Prime,TOPIX Mid400,情報・通信業,2023-03-31,2023-06-29,50000000.0,352065582254.2645,0.014201899452895001,1924.0511474609375,2641.314208984375,37.27879388601334,1.7428031225662155,2.0408001051195397,0.2979969825533242,10.97131002428649,10.235655261813376,-0.7356547624731142,200523000000.0,236829000000.0,22000000000.0,24241000000.0
2327,日鉄ソリューションズ,2327.T,TSE Prime,TOPIX Mid400,情報・通信業,2024-03-31,2024-06-29,51000000.0,482778925200.2246,0.010563841406053215,2638.404296875,4031.89501953125,52.81566302430372,2.0408001051195397,2.8350800441166855,0.7942799389971458,10.235655261813376,,,236829000000.0,,24241000000.0,
3064,ＭｏｎｏｔａＲＯ,3064.T,TSE Prime,TOPIX Mid400,小売業,2024-12-31,2025-03-31,139000000.0,1361374236260.937,0.010210271084736293,2765.202392578125,1705.0,-38.340860525209145,13.796989521286182,7.201048728158669,-6.595940793127514,25.39777439200787,26.472412667319624,1.0746382753117523,103702000000.0,122520000000.0,26338000000.0,32434000000.0
2501,サッポロホールディングス,2501.T,TSE Prime,TOPIX Mid400,食料品,2025-12-31,2026-03-31,60000000.0,667213824805.5,0.008992619422640208,1711.5,,,3.001363270805348,2.8366000051973392,-0.1647632656080087,8.908810117791118,,,218862000000.0,,19498000000.0,
1802,大林組,1802.T,TSE Prime,TOPIX Mid400,建設業,2024-03-31,2024-06-29,110000000.0,1245461269944.728,0.00883206910198674,1811.786865234375,2149.332275390625,18.630525291537793,1.123310187355591,1.3122752931145838,0.18896510575899272,6.517637190449355,12.60977825052407,6.092141060074715,1151629000000.0,1158244000000.0,75059000000.0,146052000000.0
4183,三井化学,4183.T,TSE Prime,TOPIX Mid400,化学,2024-03-31,2024-06-29,49000000.0,751894087206.2725,0.0065168752931764285,2079.9111328125,1634.8465576171875,-21.398249577783,0.9214161141830864,0.7223188093190107,-0.19909730486407573,5.794627345856932,3.8008497154254943,-1.9937776304314374,862851000000.0,848284000000.0,49999000000.0,32242000000.0
