code,name,ticker,sector_33,size_category,slope_past,slope_recent,signal_strength,rebound_pct,today_close,recent_low,per,pbr,wave_types,market_cap
2782,セリア,2782.T,小売業,TSE Standard Top100,-0.00489,0.00328,8.18,10.0,3695.0,3360.0,16.86,2.5,レンジ（波型）,231571324928.0
7867,タカラトミー,7867.T,その他製品,TOPIX Mid400,-0.00207,0.00606,8.13,14.8,2908.0,2532.0,22.12,2.3,上昇トレンド|ブレイク気味|高ボラ（荒い）,252657270784.0
9735,セコム,9735.T,サービス業,TOPIX Large70,-0.00278,0.00508,7.87,17.1,6547.0,5589.0,23.69,2.01,上昇トレンド|ブレイク気味,2648007245824.0
4901,富士フイルムホールディングス,4901.T,化学,TOPIX Large70,-0.00179,0.00606,7.85,22.4,3521.0,2875.5,15.68,1.11,下降トレンド|ブレイク気味|高ボラ（荒い）,4214286974976.0
7460,ヤギ,7460.T,卸売業,TSE Standard Top100,-0.00397,0.00387,7.83,21.9,4625.0,3795.0,10.43,0.8,上昇トレンド|高ボラ（荒い）,37561257984.0
4751,サイバーエージェント,4751.T,サービス業,TOPIX Mid400,-0.00283,0.00495,7.79,13.0,1397.5,1237.0,17.41,3.57,レンジ（波型）|高ボラ（荒い）,708670980096.0
3048,ビックカメラ,3048.T,小売業,TOPIX Mid400,-0.00438,0.00339,7.78,11.8,1788.5,1599.5,15.66,1.73,レンジ（波型）,306285510656.0
7747,朝日インテック,7747.T,精密機器,TOPIX Mid400,-0.00167,0.006,7.67,16.0,3765.0,3246.0,56.77,6.01,上昇トレンド|ブレイク気味|高ボラ（荒い）,998946045952.0
1332,ニッスイ,1332.T,水産・農林業,TOPIX Mid400,-0.00574,0.00164,7.38,8.4,1285.0,1185.5,14.25,1.3,未分類,389704318976.0
4771,エフアンドエム,4771.T,サービス業,TSE Standard Top100,-0.00132,0.00597,7.29,18.6,2440.0,2058.0,12.78,2.34,レンジ（波型）|ブレイク気味,36093706240.0
7974,任天堂,7974.T,その他製品,TOPIX Core30,-0.00609,0.00117,7.25,5.1,7215.0,6864.0,19.8,2.82,下降トレンド|高ボラ（荒い）,8317660823552.0
9005,東急,9005.T,陸運業,TOPIX Mid400,-0.00614,0.0011,7.24,8.7,1736.5,1597.0,20.5,1.08,下降トレンド|ブレイク気味,985158057984.0
5076,インフロニア・ホールディングス,5076.T,建設業,TOPIX Mid400,-0.0032,0.00402,7.22,25.8,2604.5,2070.0,10.09,1.07,未分類,658139906048.0
2579,コカ・コーラ　ボトラーズジャパンホールディングス,2579.T,食料品,TOPIX Mid400,-0.00298,0.00394,6.93,18.4,3882.0,3279.0,41.5,1.73,未分類,630736617472.0
7735,ＳＣＲＥＥＮホールディングス,7735.T,電気機器,TOPIX Mid400,-0.00175,0.00513,6.88,26.9,12980.0,10230.0,26.65,5.04,下降トレンド|高ボラ（荒い）,2454359900160.0
8750,第一生命ホールディングス,8750.T,保険業,TOPIX Large70,-0.00109,0.00573,6.82,23.8,1732.0,1398.5,14.45,1.47,上昇トレンド|ブレイク気味|高ボラ（荒い）,6236847210496.0
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,1479.T,ETF・ETN,ETF,-0.00055,0.00622,6.77,14.4,52620.0,46000.0,21.22,,上昇トレンド|ブレイク気味,
5356,美濃窯業,5356.T,ガラス・土石製品,TSE Standard Top400,-0.00066,0.00611,6.77,13.9,1322.0,1161.0,10.84,0.86,上昇トレンド|ブレイク気味|高ボラ（荒い）,13566792704.0
4619,日本特殊塗料,4619.T,化学,TSE Standard Top100,-0.00319,0.00356,6.75,12.6,2287.0,2031.0,9.43,0.82,レンジ（波型）,48695152640.0
9076,セイノーホールディングス,9076.T,陸運業,TOPIX Mid400,-0.00126,0.00548,6.74,15.5,2762.5,2391.5,19.02,0.96,上昇トレンド|ブレイク気味,448485294080.0
4902,コニカミノルタ,4902.T,電気機器,TOPIX Mid400,-0.00065,0.00605,6.71,20.9,597.0,493.8,9.19,0.55,下降トレンド|高ボラ（荒い）,295027671040.0
3513,イチカワ,3513.T,繊維製品,TSE Standard Top400,-0.0055,0.00116,6.66,15.4,3180.0,2755.0,11.54,0.56,高ボラ（荒い）,13379668992.0
